haloID,subHaloID,lastProgenitorId,treeId,snapNum,redshift,firstProgenitorId,nextProgenitorId,descendantId,firstHaloInFOFgroupId,nextHaloInFOFgroupId,np,m_Mean200,m_Crit200,m_TopHat,phKey,x,y,z,zIndex,ix,iy,iz,velX,velY,velZ,velDisp,vMax,spinX,spinY,spinZ,mostBoundID,fileNr,subhaloIndex,halfmassRadius,random
4001932,61000000002111,4001969,4000000,61,0.041403063,4001933,-1,4001931,4001932,-1,57,5.2500057,4.0450864,4.905743,3024,20.195911,25.541113,21.543383,30064,2,2,2,-113.04833,-116.443855,348.43533,38.400887,80.77801,-0.083488256,0.0054090926,-0.1750086,1816344,0,2111,0.019281477,520
4001933,60000000002130,4001969,4000000,60,0.064493395,4001934,-1,4001932,4001933,-1,56,5.3360715,4.3032837,4.8196774,3027,20.224022,25.557552,21.466112,30036,2,2,2,-100.91335,-84.55814,339.25812,35.113243,70.95968,-0.06158078,0.056297317,-0.15260065,1816344,0,2130,0.022974527,14
4001934,59000000002137,4001969,4000000,59,0.08928783,4001935,-1,4001933,4001934,-1,56,5.1639404,4.217218,4.991809,3027,20.241402,25.575142,21.392086,30036,2,2,2,-90.86323,-55.77493,328.94937,34.365273,72.65549,-0.06433553,0.054441277,-0.15726598,1816344,0,2137,0.022524789,29
4001935,58000000002113,4001969,4000000,58,0.11588337,4001936,-1,4001934,4001935,-1,57,5.2500057,4.3893495,4.991809,3027,20.263235,25.580523,21.31192,30036,2,2,2,-78.29726,-18.062914,310.08148,34.695564,69.87377,-0.05831246,0.050462883,-0.1256773,1816344,0,2113,0.022502875,97
4001936,57000000002105,4001969,4000000,57,0.14438343,4001937,-1,4001935,4001936,-1,57,5.3360715,4.4754148,4.905743,3027,20.28123,25.593126,21.228968,30036,2,2,2,-71.035515,6.3135242,297.3981,37.163513,86.72442,-0.049343035,0.047258288,-0.12368987,1789142,0,2105,0.024175545,241
4001937,56000000002043,4001969,4000000,56,0.17489761,4001938,-1,4001936,4001937,-1,59,5.508203,4.5614805,4.8196774,3027,20.29946,25.5887,21.145456,30036,2,2,2,-65.8336,29.498652,283.6697,34.204105,71.479485,-0.04916093,0.0066513503,-0.16255623,1789142,0,2043,0.022459617,883
4001938,55000000002024,4001969,4000000,55,0.20754863,4001939,-1,4001937,4001938,-1,59,5.680334,4.5614805,5.0778747,3027,20.318672,25.578283,21.065237,30036,2,2,2,-58.496937,62.221584,258.7607,36.48064,73.12884,0.017724963,-0.019405259,-0.14524697,1789142,0,2024,0.021846946,224
4001939,54000000002006,4001969,4000000,54,0.24246909,4001940,-1,4001938,4001939,-1,58,5.9385314,4.733612,5.0778747,3027,20.339918,25.5495,20.983238,30036,2,2,2,-52.08553,82.01961,240.21098,38.53417,75.06904,-0.01567414,-0.008953056,-0.14805426,1816343,0,2006,0.023236224,858
4001940,53000000001918,4001969,4000000,53,0.2798018,4001941,-1,4001939,4001940,-1,62,6.024597,4.733612,5.0778747,3027,20.356628,25.517708,20.908504,30036,2,2,2,-43.317528,111.41216,207.60965,37.353172,73.09655,0.006907202,0.055745285,-0.13432942,1816313,0,1918,0.02304819,790
4001941,52000000001957,4001969,4000000,52,0.31970343,4001942,-1,4001940,4001941,-1,61,5.7664,4.991809,5.594269,3027,20.375868,25.469578,20.83076,30036,2,2,2,-33.319313,139.08539,171.32883,35.72103,73.77495,-0.010210907,0.068339795,-0.120460026,1789142,0,1957,0.026274526,559
4001942,51000000001709,4001969,4000000,51,0.36234027,4001943,-1,4001941,4001942,-1,66,6.196728,5.2500057,5.9385314,3027,20.380005,25.412289,20.780266,30036,2,2,2,-19.15104,162.55905,128.27272,38.92003,75.97362,0.004914165,0.108885095,-0.08685991,1816342,0,1709,0.02672447,625
4001943,50000000000151,4001969,4000000,50,0.40789944,4001944,-1,4001942,4000013,4001572,64,0.0,0.0,0.0,3028,20.389917,25.326511,20.738476,30022,2,2,2,-3.0169005,186.42491,72.35013,38.00644,68.75163,-0.05947835,0.07300959,-0.092004545,1816315,0,151,0.028548857,262
4001944,49000000000132,4001969,4000000,49,0.45657724,4001945,-1,4001943,4000014,4001087,61,0.0,0.0,0.0,3028,20.385471,25.258583,20.71769,30022,2,2,2,18.540215,203.82713,1.3637648,40.627262,78.8308,-0.20654841,0.0067343963,-0.17463644,1816315,0,132,0.020198766,329
4001945,48000000000115,4001969,4000000,48,0.5085914,4001946,-1,4001944,4000015,4000374,61,0.0,0.0,0.0,3028,20.371641,25.181597,20.74188,30022,2,2,2,53.224926,210.60355,-85.68712,41.071804,79.94739,-0.20465517,0.08363113,-0.2523982,1816340,0,115,0.021161422,10
4001946,47000000000128,4001969,4000000,47,0.5641766,4001947,-1,4001945,4000016,4000375,64,0.0,0.0,0.0,3028,20.341282,25.093462,20.804031,30022,2,2,2,94.757454,181.03568,-192.73895,42.389595,81.80868,-0.040507056,0.057256624,-0.16317908,1789146,0,128,0.018698893,187
4001947,46000000000128,4001969,4000000,46,0.6235901,4001948,-1,4001946,4000017,4000376,63,0.0,0.0,0.0,3028,20.292871,25.040705,20.91875,30022,2,2,2,119.29765,84.71785,-321.98212,44.03378,83.810394,-0.108741105,-0.057994395,-0.16317831,1789146,0,128,0.018544937,344
4001948,45000000000102,4001969,4000000,45,0.6871088,4001949,-1,4001947,4000018,4000377,50,0.0,0.0,0.0,3028,20.237858,25.02275,21.090235,30022,2,2,2,102.0622,-63.63766,-392.60425,44.18201,79.46053,-0.19134763,0.013756915,-0.17680418,1816346,0,102,0.018380888,689
4001949,44000000000112,4001969,4000000,44,0.75503564,4001950,-1,4001948,4000019,4001404,68,0.0,0.0,0.0,3028,20.176796,25.079905,21.281069,30022,2,2,2,76.649025,-194.46559,-370.9902,47.862076,85.11292,-0.183274,-0.052658003,-0.12125008,1816313,0,112,0.019790627,948
4001950,43000000000103,4001969,4000000,43,0.8276991,4001951,-1,4001949,4000020,4001405,73,0.0,0.0,0.0,3028,20.14407,25.2006,21.453331,30022,2,2,2,55.5079,-245.68964,-301.26868,43.472023,78.933334,-0.13424022,-0.17305812,-0.10523674,1816313,0,103,0.024697592,601
4001951,42000000001616,4001969,4000000,42,0.9054624,4001952,-1,4001950,4001951,-1,85,7.057385,6.282794,6.799188,3031,20.119337,25.340473,21.580433,30050,2,2,2,42.74248,-261.40878,-258.16727,40.156887,79.2572,-0.06877128,-0.0928056,-0.07881251,1805045,0,1616,0.026186712,561
4001952,41000000001812,4001969,4000000,41,0.98870814,4001953,-1,4001951,4001952,-1,78,5.9385314,5.594269,5.8524656,3024,20.09397,25.467655,21.704906,30064,2,2,2,36.174717,-261.7779,-216.68152,42.381428,82.12918,-0.13815877,-0.04586197,-0.109699,1816339,0,1812,0.023556875,763
4001953,40000000001769,4001969,4000000,40,1.0778745,4001954,-1,4001952,4001953,-1,80,6.196728,5.7664,6.024597,3024,20.086567,25.59654,21.8113,30064,2,2,2,30.359186,-255.95613,-187.67088,45.690804,85.55152,-0.16113117,-0.05900796,-0.0904044,1816341,0,1769,0.023769466,37
4001954,39000000001735,4001969,4000000,39,1.173417,4001955,-1,4001953,4001954,-1,80,5.4221373,5.0778747,5.4221373,3024,20.070684,25.727055,21.887953,30064,2,2,2,29.435337,-248.3379,-169.09465,42.35734,79.84147,-0.14660285,-0.14075892,-0.05223954,1789146,0,1735,0.0259266,41
4001955,38000000001741,4001969,4000000,38,1.2758462,4001956,-1,4001954,4001955,-1,76,6.024597,5.4221373,6.024597,3024,20.047062,25.84854,21.980911,30064,2,2,2,27.740671,-236.43143,-149.02629,42.858543,75.30186,-0.14754501,-0.02903272,0.006259668,1789146,0,1741,0.02855046,937
4001956,37000000001795,4001969,4000000,37,1.3857181,4001957,-1,4001955,4001956,-1,73,6.36886,5.680334,6.36886,3024,20.033339,25.99422,22.06991,30064,2,2,2,25.79877,-225.52332,-141.4041,46.523876,79.76912,0.011450189,-0.030013844,0.06592265,1816313,0,1795,0.02253189,17
4001957,36000000001838,4001969,4000000,36,1.5036365,4001958,-1,4001956,4001957,-1,71,5.7664,5.508203,5.8524656,3024,20.035658,26.136003,22.157629,30064,2,2,2,22.347631,-220.57338,-130.94052,49.816498,90.40766,0.011665734,-0.032038666,0.06618057,1789175,0,1838,0.019041898,939
4001958,35000000001684,4001969,4000000,35,1.6302707,4001959,-1,4001957,4001958,-1,79,5.1639404,4.991809,5.2500057,3024,20.045353,26.240969,22.219189,30064,2,2,2,23.092962,-210.7217,-123.03909,47.938038,85.33273,-0.03804054,-0.0464036,0.017630098,1816340,0,1684,0.023411302,479
4001959,34000000001694,4001969,4000000,34,1.766336,4001960,-1,4001958,4001959,-1,73,5.7664,5.680334,5.9385314,3024,20.01176,26.360504,22.281754,30064,2,2,2,23.95587,-207.58792,-120.339584,45.403606,86.631134,-0.11946622,0.019476471,-0.028819311,1816345,0,1694,0.023261497,224
4001960,33000000001725,4001969,4000000,33,1.9126327,4001961,-1,4001959,4001960,-1,69,5.1639404,4.8196774,5.1639404,3024,20.013474,26.476885,22.358217,30066,2,2,2,21.041851,-203.29588,-115.1965,45.470825,82.98772,-0.098571844,-0.006820089,-0.023455828,1816340,0,1725,0.01901592,553
4001961,32000000001810,4001969,4000000,32,2.0700274,4001962,-1,4001960,4001961,-1,62,4.3032837,4.217218,4.3893495,3024,19.981308,26.609222,22.432568,30066,2,2,2,23.309055,-194.65851,-107.92244,48.585537,84.57405,-0.08786482,-0.09236557,-0.021314299,1816313,0,1810,0.01878683,189
4001962,31000000001742,4001969,4000000,31,2.2394855,4001963,-1,4001961,4001962,-1,61,4.217218,3.6147583,4.3032837,3024,19.956234,26.716408,22.49166,30070,2,2,2,20.114866,-188.82333,-103.47715,45.662533,82.58222,-0.01961317,3.0942264E-4,0.068959646,1816313,0,1742,0.021577919,639
4001963,30000000001710,4001969,4000000,30,2.422044,4001964,-1,4001962,4001963,-1,55,2.840167,2.840167,2.840167,3024,19.911417,26.817888,22.560478,30070,2,3,2,16.50588,-185.32379,-98.06239,48.156654,85.533455,-0.09812909,-0.13886465,0.023849454,1816315,0,1710,0.01919428,514
4001964,29000000002080,4001969,4000000,29,2.6188614,4001965,-1,4001963,4001964,-1,44,2.9262328,2.840167,3.098364,3024,19.920824,26.905638,22.629837,30070,2,3,2,19.060982,-177.31923,-96.49329,43.783745,75.49747,-0.095643416,-0.028420618,-0.11139393,1816338,0,2080,0.016502209,818
4001965,28000000002701,4001969,4000000,28,2.8311827,4001966,-1,4001964,4001965,-1,30,2.4959044,2.4959044,2.4959044,3024,19.883535,27.015463,22.652775,30070,2,3,2,20.520887,-164.08533,-80.1705,41.269325,75.14801,-0.080685824,-0.06733447,-0.0561325,1816341,0,2701,0.013719762,290
4001966,27000000002393,4001969,4000000,27,3.060419,4001967,-1,4001965,4001966,-1,32,2.1516418,2.1516418,2.3237731,3024,19.871675,27.101286,22.703598,30070,2,3,2,17.308012,-160.22733,-75.208084,46.945683,78.95198,-0.055706717,-0.0071064476,-0.014353098,1816341,0,2393,0.01129909,330
4001967,26000000002526,4001969,4000000,26,3.3080978,4001968,-1,4001966,4001967,-1,29,1.9795104,1.9795104,2.2377074,3024,19.880745,27.19138,22.731575,30070,2,3,2,13.74951,-151.10712,-64.97032,44.381348,81.68271,0.010128109,-0.0013498713,0.035943195,1816315,0,2526,0.009962951,433
4001968,25000000002500,4001969,4000000,25,3.575905,4001969,-1,4001967,4001968,-1,27,1.6352477,1.6352477,1.6352477,3024,19.887918,27.257631,22.79529,30070,2,3,2,15.527204,-145.98642,-64.58032,42.501713,72.16899,0.007271108,0.022136007,0.061938573,1789146,0,2500,0.010533348,719
4001969,24000000002646,4001969,4000000,24,3.8656828,-1,-1,4001968,4001969,-1,23,1.2049193,1.2049193,1.2909851,3023,19.904125,27.349865,22.814722,30180,2,3,2,14.057011,-141.7259,-66.36569,43.538574,77.002525,-0.036708433,0.026483938,-0.02031573,1816313,0,2646,0.008302096,848
